EventName,Division,StartDate,EndDate,Time,Venue,Address,City,State,Zip,Category,EventType,PrizeMoney,EntryFee,Runs,Description,Website,Phone,Email,SourceImage,DateExtracted,TeamRopingAI
Zabawa Production Weekly Ropings - Tuesday #12.5,,Tuesdays,,4:15 PM,Zabawa Arena,48069 W Papago Rd,Maricopa,AZ,,Team Roping,Weekly Jackpot,,,,"#12.5 Slide Tuesday Night. $200 entry, 4-steer progressive handicapped, 80% payback. Cash only.",,484-226-5961,,615515000_1565460128385179_3288440395961003483_n.jpg,1/25/26,YES
4D Arena Workin Man Wednesdays,,Wednesdays,,9:30 AM,4D Arena,23465 W Patton Rd,Wittmann,AZ,85361,Team Roping,Weekly Series,,,,"Weekly afternoon/evening ropings. #11.5 Handicap $150/man, #12.5 Slide $150/man. 4-head progressive.",,(719) 539-5507,,616772801_916377151055961_6604103686076692976_n.jpg,1/25/26,YES
4D Arena Wrangler Wednesdays,,Wednesdays,,,4D Arena,23465 W Patton Rd,Wittmann,AZ,85361,Team Roping,Weekly Series,Trophy Buckles,,,"Weekly morning ropings. #6.5 $50/man, #7.5 $60/man, #8.5 $60/man. All 2-steer with trophy buckles. Wrangler certificates to high money.",,(719) 539-5507,,616772801_916377151055961_6604103686076692976_n.jpg,1/25/26,YES
Tangled Tuesdays – #10.5 Handicap,,2026-03-03,2026-03-03,Books Open 6:00 PM; Close 7:00 PM; Rope 7:15 PM,Rockin CR Ranch,7333 FM 66,Maypearl,TX,76064.0,Team Roping,Series – Weekly Handicap,"$1,000 High Point (Series Award)",,,"Tuley Productions & Rockin CR Ranch present Tangled Tuesdays, a March 2026 weekly #10.5 Handicap series held March 3, 10, 17, 24, and 31 in Maypearl, Texas. Books open at 6:00 PM with roping at 7:15 PM. Pick 1/Draw 1 format at $160 per side, with pick after draw option and progressive after one, capped at 6.5. The Pot O’ Gold Series awards $1,000 cash to the High Point Header and Heeler, with attendance required at four of five weeks. Cash only. Covered arena with concessions on site.",,469-337-7699,,Tangled_Tuesdays_2026.png,2026-02-26,Yes
Tangled Tuesdays – #10.5 Handicap,,2026-03-10,2026-03-10,Books Open 6:00 PM; Close 7:00 PM; Rope 7:15 PM,Rockin CR Ranch,7333 FM 66,Maypearl,TX,76064.0,Team Roping,Series – Weekly Handicap,"$1,000 High Point (Series Award)",,,"Tuley Productions & Rockin CR Ranch present Tangled Tuesdays, a March 2026 weekly #10.5 Handicap series held March 3, 10, 17, 24, and 31 in Maypearl, Texas. Books open at 6:00 PM with roping at 7:15 PM. Pick 1/Draw 1 format at $160 per side, with pick after draw option and progressive after one, capped at 6.5. The Pot O’ Gold Series awards $1,000 cash to the High Point Header and Heeler, with attendance required at four of five weeks. Cash only. Covered arena with concessions on site.",,469-337-7699,,Tangled_Tuesdays_2026.png,2026-02-26,Yes
Tangled Tuesdays – #10.5 Handicap,,2026-03-17,2026-03-17,Books Open 6:00 PM; Close 7:00 PM; Rope 7:15 PM,Rockin CR Ranch,7333 FM 66,Maypearl,TX,76064.0,Team Roping,Series – Weekly Handicap,"$1,000 High Point (Series Award)",,,"Tuley Productions & Rockin CR Ranch present Tangled Tuesdays, a March 2026 weekly #10.5 Handicap series held March 3, 10, 17, 24, and 31 in Maypearl, Texas. Books open at 6:00 PM with roping at 7:15 PM. Pick 1/Draw 1 format at $160 per side, with pick after draw option and progressive after one, capped at 6.5. The Pot O’ Gold Series awards $1,000 cash to the High Point Header and Heeler, with attendance required at four of five weeks. Cash only. Covered arena with concessions on site.",,469-337-7699,,Tangled_Tuesdays_2026.png,2026-02-26,Yes
Tangled Tuesdays – #10.5 Handicap,,2026-03-24,2026-03-24,Books Open 6:00 PM; Close 7:00 PM; Rope 7:15 PM,Rockin CR Ranch,7333 FM 66,Maypearl,TX,76064.0,Team Roping,Series – Weekly Handicap,"$1,000 High Point (Series Award)",,,"Tuley Productions & Rockin CR Ranch present Tangled Tuesdays, a March 2026 weekly #10.5 Handicap series held March 3, 10, 17, 24, and 31 in Maypearl, Texas. Books open at 6:00 PM with roping at 7:15 PM. Pick 1/Draw 1 format at $160 per side, with pick after draw option and progressive after one, capped at 6.5. The Pot O’ Gold Series awards $1,000 cash to the High Point Header and Heeler, with attendance required at four of five weeks. Cash only. Covered arena with concessions on site.",,469-337-7699,,Tangled_Tuesdays_2026.png,2026-02-26,Yes
Tangled Tuesdays – #10.5 Handicap,,2026-03-31,2026-03-31,Books Open 6:00 PM; Close 7:00 PM; Rope 7:15 PM,Rockin CR Ranch,7333 FM 66,Maypearl,TX,76064.0,Team Roping,Series – Weekly Handicap,"$1,000 High Point (Series Award)",,,"Tuley Productions & Rockin CR Ranch present Tangled Tuesdays, a March 2026 weekly #10.5 Handicap series held March 3, 10, 17, 24, and 31 in Maypearl, Texas. Books open at 6:00 PM with roping at 7:15 PM. Pick 1/Draw 1 format at $160 per side, with pick after draw option and progressive after one, capped at 6.5. The Pot O’ Gold Series awards $1,000 cash to the High Point Header and Heeler, with attendance required at four of five weeks. Cash only. Covered arena with concessions on site.",,469-337-7699,,Tangled_Tuesdays_2026.png,2026-02-26,Yes
Jake Barnes & Clay O'Brien Cooper Roping School,,2026-04-11,2026-04-12,Daily Schedule – See Organizer,McCurley Ranch,30962 Combs Rd,Escalon,CA,,Team Roping,Roping School / Clinic,Jackpot & High Point Buckles,,,"Seven-time world champions Jake Barnes and Clay O’Brien Cooper headline this exclusive two-day Roping School April 11–12, 2026 at McCurley Ranch in Escalon, California. Limited to 10 headers and 10 heelers, the school offers elite-level coaching, personalized instruction, and insider strategy from two of the sport’s most accomplished competitors. The program includes a second-day jackpot and buckles awarded to the high point header and heeler. Lunch provided. Total fee is $650 per person with a $300 deposit due by April 5. A rare opportunity for serious ropers to elevate their game.",,209-606-6555,,Barnes_Cooper_Roping_School_2026.png,2026-02-26,Yes
Bob Felkins 3rd Annual Memorial Roping,,4/11/26,4/11/26,"Books 8:00 AM, Rope 9:00 AM",Diamond B Ranch,20250 E Price Station Rd,Florence,AZ,85123,Team Roping,Memorial Jackpot,"75% payback (12 Slide), 70% payback (9.5 Handicap)",,,"3rd Annual memorial roping honoring Bob Felkins at Diamond B Ranch, Florence AZ. Two divisions: #12 Slide (P1/D1, $200, 4 steer, 75% payback) and #9.5 Handicap (P1/D1, $150, 3 steer, 5.5 cap, 70% payback). Cash only. Cattle by Velazquez Productions.",,"602-526-2271, 505-414-2787",,,3/3/26,YES
Wild Bill Invitational Team Roping,,5/16/26,5/16/26,"Enter 10:00 AM, Rope 11:00 AM",BCB Equine Center,4332 Highway O,Williamsville,MO,,Team Roping,Invitational Jackpot,Saddle to High Money (75 teams required); A Cut Above Buckles to average winners; 70% payback,,,"Wild Bill Invitational Team Roping at BCB Equine Center, Williamsville MO. Two divisions: 11 pt P1/D1 200 and 9 pt P1/D1 200 (9 pt capped at 5) - both 4 hd, progressive after 1, enter 6x, 70% payback. Saddle to high money winner (75 teams required). Added money TBA. Current Global Card required. Cash only. Cattle by Jason Stroup.",,"573-238-9787, 573-803-9328",,,3/3/26,YES
Rockin CR Ranch Grand Opening - 10.5 Invitational,,5/2/26,5/2/26,Will not start before 3:00 PM,Rockin CR Ranch,7333 FM 66,Maypearl,TX,,Team Roping,Invitational Jackpot,Ave: 1st 20000 / 2nd 10000 / 3rd 5000 / 4th 2500; Fast Times: 1st 4000 / 2nd 3000 / 3rd 2000,,,"Rockin CR Ranch Grand Opening Invitational 10.5, Maypearl TX. Limited to 35 teams, 6-header capped at 6.5, 1000/side, 6 full rounds. Catch all 6 guarantees fees back. Call-in entries open March 2 at 10 AM. Global handicaps only. Credit cards accepted (4% fee). Covered arena, concessions on site. Cattle by Carson Emmons.",,"469-337-7699, 214-728-6351",,,3/3/26,YES
2nd Annual TR Frost Memorial,#13.5 Slide,4/4/26,4/4/26,"Books Open 8:00 AM, Close 9:00 AM SHARP",Gila County Fair Grounds,,Globe,AZ,,Team Roping,Jackpot,,$150 ,Enter 3x,4 Steer. P1D1 or D2. HCAP Up/Down. 1 sec/Number Max 6 sec. 70% Payback. Buckles 1st-5th. Silent Auction on site - all proceeds fund the 2 TR Frost Memorial Scholarships. Flag on the Heels. Cash Only - No Checks. Cain's Backyard BBQ provided by Jonna Randall Murdock of Farm Bureau Insurance. Velazquez Productions. Stalls/RV info: 928-200-1672.,,(928) 243-0598,,621579416_10227243174898318_7391156014666979966_n.jpg,3/4/26,YES
Tyler Magnus Team Roping - Llano,#6 Two Steer/#8 Hdcp/#10 Hdcp/#12 Slide,4/5/26,4/6/26,11:00 AM,JLK Arena,2200 W Ranch Rd 152,Llano,TX,,Team Roping,Special Event,$75+,$75-$180/roper,Enter 3x/side,Future Llano dates Apr 5-6. Same format: #6 Two Steer #8 Handicap w/#4 Cap #10 Handicap #12 Slide. Global numbers. No Elites. Negative Coggins. Cash or credit card. Tyler (512)940-4786.,,512-940-4786,,649126379_1484691186387708_1456881390502128402_n.jpg,3/8/26,Yes
Poly Royal Rodeo Boosters Alumni Team Roping,#12 Slide HDCP,4/9/26,4/9/26,10:00 AM,Cotton Rosser Rodeo Complex - Cal Poly,,San Luis Obispo,CA,,Team Roping,Special Event,$100 ,$50/run,Enter 3x total of 6 runs,#12 Slide HDCP 3 for $100. Pick 1 Draw 1 $50/run enter 3x for total of 6 runs. Sign up 9am rope 10am. Cash only. Top 5 teams perform at Spanos Stadium Thursday night. Kickoff BBQ for Alumni & Boosters. World Series numbers. No membership required.,,,,649228200_18457727947102164_947460637351300923_n.jpg,3/8/26,Yes
Original Team Roping Levelland,#3.5 Slide,4/11/26,4/11/26,"Books Open 8AM, Rope 9AM",Mallet Event Center,,Levelland,TX,,Team Roping,Jackpot,,$60/man,Enter up to 10x,All Picks or Use Draw Option. 4 Head Progressive after 1. Stock Charge 40%. Membership Required - Sold on Site.,,(806) 438-8173,,645474841_934819032254142_6455709178338772811_n.jpg,3/4/26,YES
Jake Barnes & Clay O'Brien Cooper Roping School,,4/11/26,4/12/26,Daily Schedule – See Organizer,McCurley Ranch,30962 Combs Rd,Escalon,CA,,Team Roping,Roping School / Clinic,Jackpot & High Point Buckles,,,"Seven-time world champions Jake Barnes and Clay O’Brien Cooper headline this exclusive two-day Roping School April 11–12, 2026 at McCurley Ranch in Escalon, California. Limited to 10 headers and 10 heelers, the school offers elite-level coaching, personalized instruction, and insider strategy from two of the sport’s most accomplished competitors. The program includes a second-day jackpot and buckles awarded to the high point header and heeler. Lunch provided. Total fee is $650 per person with a $300 deposit due by April 5. A rare opportunity for serious ropers to elevate their game.",,209-606-6555,,Barnes_Cooper_Roping_School_2026.png,2/26/26,Yes
Still Waters Cowboy Church Team Roping,#9.5 / 5E Cap,4/17/26,4/17/26,"Books Open 6:30 PM, Close 7:15 PM, Rope 7:30 PM sharp",Still Waters Cowboy Church,,,,,Team Roping,Jackpot,,$150 ,,Pick 1 Draw 2 or Draw All 3. 4 Head Progressive. 100% Payout after Secretary Fee and Stock Charge. Buckles to winners. Cash Only. WS/US Classifications with Elites Used. World Series Barrier. Outdoor arena - call before you haul.,,(903) 702-2158,,634441246_1336368551853348_577382348748868378_n.jpg,3/4/26,YES
KRRA Roping,Team Roping,4/18/26,4/18/26,"Check-In at 9:00 AM, Roping starts at 10:00 AM",Haselwood Arena,2901 N Dike Rd,Augusta,KS,67010,Team Roping,Jackpot,,,,KRRA. New Ropers Always Welcome.,,,,,3/4/26,YES
Ridin' For Christ Breakaway Roping,Open 4D Breakaway,4/18/26,4/18/26,7:00 PM,Paris Rodeo Arena,550 Clement Rd,Paris,TX,,Breakaway Roping,Jackpot,,$40/entry,Rope once per entry 3x per horse,Open 4D Breakaway Roping. $40/entry. 1/2 second splits. 100% payback: 1D 40% 2D 30% 3D 20% 4D 10%. Books open 5pm close 6:30pm rope 7pm. Cash only. Electric barrier. Bell collar catch. Pre-entries text name/horse/# of entries to Brittany 915-525-2075.,,915-525-2075,,648154643_2868774983324917_4539212340395539793_n.jpg,3/8/26,Yes
TRU Roping Cinco De Mayo 40+ King Ranch Truck Roping,#10.5 Warm Up Roping,5/2/26,5/2/26,"Enter at 5:00 PM, Rope at 6:00 PM",Corral Arena,1901 E. Stanolind Rd.,Hobbs,NM,,Team Roping,Jackpot,,$200/roper,4 Steer PA 1 Capped at 6,"40+ Warm Up Roping. 80% Payback. Age Limit: Men 40 & Over, Ladies 21 & Over anytime in 2026. Pick or Draw. Cash or Credit Card (3% fee applies). Current Coggins required. WSTR barrier used all weekend. Current Global, WSTR, USTRC, Key Card or Card Max membership required. Produced by Jerry Trujillo. Cattle provided by Team Taylor.",,(575) 356-8412,,645425934_1970363136923879_4872989542901122301_n.jpg,3/4/26,YES
Original Team Roping Levelland District Finals,#3.5 Slide,5/2/26,5/2/26,"Books Open 8AM, Rope 9AM",Mallet Event Center,,Levelland,TX,,Team Roping,Jackpot,,$60/man,Enter up to 10x,District Finals. 4 Head Progressive after 1. Stock Charge 40%. Membership Required. Prize to High Money Winner of the Day. Buckles & more to qualified winners.,,(806) 438-8173,,645474841_934819032254142_6455709178338772811_n.jpg,3/4/26,YES
TRU Roping Cinco De Mayo 40+ King Ranch Truck Roping,#9.5 Truck Roping,5/3/26,5/3/26,Rope at Noon,Corral Arena,1901 E. Stanolind Rd.,Hobbs,NM,,Team Roping,Added Money,"$100,000 payout based on 300 entries",$500/roper,Enter up to 4x,"PRE-ENTRY ONLY. Call-ins April 27 at 9 AM CST. Limited to 320 total teams. 4 Head Progressive after 1st steer. Top 30 to Short Round. Slow back WS Barrier. Capped at 5.5. Men 40 & Over, Ladies 21 & Over anytime in 2026. Prize Line: Fully Loaded F-350 4x4 King Ranch Diesel Dually Truck to Hi-Point Roper (guaranteed no matter how many teams), 2 Draggin S Trophy Saddles, 2 Maynard Buckles to average winners, plus cash. 3% credit card fee. Global Handicaps Only.",www.wstroping.com,(575) 356-8412,,645425934_1970363136923879_4872989542901122301_n.jpg,3/4/26,YES
2026 Carbon Classic - Open Breakaway,Open Breakaway,5/11/26,5/11/26,3:00 PM,Brown Ranch,217 Hwy 1027,Carbon,TX,76435,Breakaway Roping,Special Event,$5000 added,$500/entry,Enter 2x limited 100 entries,Monday. Open Breakaway $5000 added. 3 head progressive plus short. $500/entry limited to 100 entries enter 2x. Cash only. Text to save spot. Billy Bob Brown 254-631-8474.,,254-631-8474,,646955627_26003122469357159_4395168201911641881_n.jpg,3/8/26,Yes
Cowboy Legends Calf Roping,Calf Roping,5/15/26,11/22/26,,Park Your Pony Arena / Young County Arena,,Stephenville / Graham,TX,,Tie Down,Jackpot,,,,"2026 Season: May 15-17 (Park Your Pony Arena Stephenville), Jun 19-21 (Young County Arena Graham), Jul 17-19 (Park Your Pony Arena Stephenville), Aug 21-23 (Park Your Pony Arena Stephenville), Sep 11-13 (Park Your Pony Arena Stephenville), Oct 2-4 (Park Your Pony Arena Stephenville), Oct 30-Nov 1 (Park Your Pony Arena Stephenville), Nov 20-22 (Park Your Pony Arena Stephenville). Proud supporters of the Tarleton Rodeo Team.",CowboyLegendsCalfRoping.com,,,646370053_866047546464212_8148933349041710640_n.jpg,3/4/26,NO
2026 Carbon Classic - Friday Ropings,#16.5/#15.5/#14.5,5/15/26,5/15/26,10:00 AM,Brown Ranch,217 Hwy 1027,Carbon,TX,76435,Team Roping,Special Event,$10000+ added,$400-$500/man,Enter 3x 60 team limit,Friday. Books close 9:30 rope 10. Regular barrier. #16.5 $5000 added $400/man enter 3x 60 team limit. #15.5 $5000 added $400/man enter 3x 60 team limit. #14.5 $10000 added $500/man 6 head enter 3x 60 team limit. Cash only. Billy Bob Brown 254-631-8474.,,254-631-8474,,646955627_26003122469357159_4395168201911641881_n.jpg,3/8/26,Yes
Still Waters Cowboy Church Team Roping,#9.5 / 5E Cap,5/16/26,5/16/26,"Books Open 1:00 PM, Close 1:45 PM, Rope 2:00 PM sharp",Still Waters Cowboy Church,,,,,Team Roping,Jackpot,,$150 ,,Pick 1 Draw 2 or Draw All 3. 4 Head Progressive. 100% Payout after Secretary Fee and Stock Charge. Buckles to winners. Cash Only. WS/US Classifications with Elites Used. World Series Barrier. Outdoor arena - call before you haul.,,(903) 702-2158,,638074808_1338729658283904_919113350286728358_n.jpg,3/4/26,YES
2026 Carbon Classic - Saturday Ropings,#13.5/#12.5/#11.5,5/16/26,5/16/26,10:00 AM,Brown Ranch,217 Hwy 1027,Carbon,TX,76435,Team Roping,Special Event,$10000+ added,$300-$500/man,Enter 3x 60 team limit,Saturday. Books close 9:30 rope 10. World Series barrier. #13.5 $300/man enter 3x 60 team limit. #12.5 $10000 added $500/man 6 head enter 3x 60 team limit one partner must be 21. #11.5 $10000 added $500/man 6 head enter 3x 60 team limit one partner must be 21. Cash only. Billy Bob Brown 254-631-8474.,,254-631-8474,,646955627_26003122469357159_4395168201911641881_n.jpg,3/8/26,Yes
2026 Carbon Classic - Sunday Open,Open #1/Open #2,5/17/26,5/17/26,11:00 AM,Brown Ranch,217 Hwy 1027,Carbon,TX,76435,Team Roping,Special Event,$10000+ added,$500/man,Enter 1x each roping,Sunday. Church with Trey Johnson 10am. Books close 10:30 rope 11. Carbon Classic Open #1 $10000 added $500/man 6 head enter 1x. Carbon Classic Open #2 $10000 added $500/man 6 head enter 1x. $2000 to highest placing #17 team or under in each roping must catch all 6. Cash only. Billy Bob Brown 254-631-8474.,,254-631-8474,,646955627_26003122469357159_4395168201911641881_n.jpg,3/8/26,Yes
2nd Annual ETX Baddest,#14,5/23/26,5/23/26,"Books Open 8AM, Close 9AM, Starts at 9:30 AM",Henderson County Fair Park,3356 TX-31 Bus,Athens,TX,75751,Team Roping,Added Money,$5K Added,$300/man,Enter 3x,"4HD/PA1. 80% Payback. Buckles to Average Winners. $30K Total Added across event. 2 Arenas Sat & Sun. Negative Coggins Required. Cowboy Dress Code - Collard Shirt, Cowboy Hat or ETX Baddest Ball Cap. Presented by Holiday Auto Group.",,(214) 263-1722,,644042915_122103628137274555_202552634640484420_n.jpg,3/4/26,YES
Wayne Hamlin Memorial Roping,#7.5 Slide/#6.5/#4.5,5/23/26,5/25/26,10:00 AM,Shady Spot Arena,7303 E Massingale Rd,Benton City,WA,,Team Roping,Memorial,$60+,$40-$60,3 days,3-day memorial event. Sat: #7.5 Slide 4 for $60 Hdcp Up/Dn; #6.5 1 Over 40 3 for $40; #4.5 3 for $40. Sun: Century/Mix 4 for $50; #6.5 3 for $40; #5.5 3 for $40. Mon: #6.5 Slide 4 for $60; #6.5 Over 40 3 for $40. 2 Saddles awarded. Buckles to average winners. ACTRA. Kyle Hagins 509-947-2051.,,509-947-2051,,622935879_1416371400534774_2100473433641619686_n.jpg,3/8/26,Yes
PRDC Roping Jackpot,#6,5/23/26,10/3/26,12:00 PM,Petaluma Riding Club,1820 Skillman Lane,Petaluma,CA,94952,Team Roping,Jackpot,,$35 ,3 runs,"Dates: May 23, Jun 27, Jul 11, Aug 22, Sep 12, Oct 3. #6 Pick or Draw 3 for $35. Sign up 11am rope 12pm. Handicap 1 sec per 1/2 number. 3 pots depending on entries. 40% cattle charge. Cash only. Must be ACTRA member. Memberships available at sign up. Brandon Bacon (707)396-2229.",,707-396-2229,,636213864_1346549427515549_8721971264747557137_n.jpg,3/8/26,Yes
2nd Annual ETX Baddest,#10 Business Man (6.5 Cap),5/24/26,5/24/26,Starts at 9:30 AM,Henderson County Fair Park,3356 TX-31 Bus,Athens,TX,75751,Team Roping,Added Money,$2.5K Added,$300/man,Enter 3x,4HD/PA1. Must be 21+. Buckles to Average Winners. Negative Coggins Required. Cowboy Dress Code.,,(214) 263-1722,,644042915_122103628137274555_202552634640484420_n.jpg,3/4/26,YES
2nd Annual ETX Baddest,Open to the World,5/25/26,5/25/26,Starts at 9:30 AM,Henderson County Fair Park,3356 TX-31 Bus,Athens,TX,75751,Team Roping,Added Money,$5K Added,$500/man,Enter 2x,5HD/PA1. 90% Payback. Negative Coggins Required. Cowboy Dress Code.,,(214) 263-1722,,644042915_122103628137274555_202552634640484420_n.jpg,3/4/26,YES
Tyler Magnus Team Roping - Llano,#6 Two Steer/#8 Hdcp/#10 Hdcp/#12 Slide,5/25/26,5/25/26,11:00 AM,JLK Arena,2200 W Ranch Rd 152,Llano,TX,,Team Roping,Special Event,$75+,$75-$180/roper,Enter 3x/side,Future Llano date May 25. Same format: #6 Two Steer #8 Handicap w/#4 Cap #10 Handicap #12 Slide. Global numbers. No Elites. Negative Coggins. Cash or credit card. Tyler (512)940-4786.,,512-940-4786,,649126379_1484691186387708_1456881390502128402_n.jpg,3/8/26,Yes
Butch Wise Memorial Roping,,5/30/26,5/30/26,10:00 AM,Shady Spot Arena,7303 E Massingale Rd,Benton City,WA,,Team Roping,Memorial,,,Special format,Special format. No breakaway. ACTRA. 1/3 cattle charge. $10 office fee. Kyle Hagins 509-947-2051.,,509-947-2051,,622935879_1416371400534774_2100473433641619686_n.jpg,3/8/26,Yes
Wild Horse Prairie Days Ranch Rodeo,Ranch Rodeo,6/6/26,6/7/26,,Wild Horse Prairie Days,,Haskell,TX,,Ranch,Rodeo,,,,WRCA Sanctioned Ranch Rodeo. WRCA Sanctioned Ranch Rodeo of the Year 2019. American Quarter Horse Association. First Weekend in June (Jun 6-7 2026).,,,,,3/4/26,NO
Still Waters Cowboy Church Team Roping,#9.5 / 5E Cap,6/20/26,6/20/26,"Books Open 1:00 PM, Close 1:45 PM, Rope 2:00 PM sharp",Still Waters Cowboy Church,,,,,Team Roping,Jackpot,,$150 ,,Pick 1 Draw 2 or Draw All 3. 4 Head Progressive. 100% Payout after Secretary Fee and Stock Charge. Buckles to winners. Cash Only. WS/US Classifications with Elites Used. World Series Barrier. Outdoor arena - call before you haul.,,(903) 702-2158,,638074808_1338729658283904_919113350286728358_n.jpg,3/4/26,YES
Tyler Magnus Team Roping - Llano,#6 Two Steer/#8 Hdcp/#10 Hdcp/#12 Slide,6/20/26,6/21/26,11:00 AM,JLK Arena,2200 W Ranch Rd 152,Llano,TX,,Team Roping,Special Event,$75+,$75-$180/roper,Enter 3x/side,Future Llano dates Jun 20-21. Same format: #6 Two Steer #8 Handicap w/#4 Cap #10 Handicap #12 Slide. Global numbers. No Elites. Negative Coggins. Cash or credit card. Tyler (512)940-4786.,,512-940-4786,,649126379_1484691186387708_1456881390502128402_n.jpg,3/8/26,Yes
4th of July Weekend Roping,#7.5 Slide/#6.5/#4.5/Century Mix,7/4/26,7/5/26,10:00 AM,Shady Spot Arena,7303 E Massingale Rd,Benton City,WA,,Team Roping,Special Event,$40+,$40-$60,2 days,Jul 4: #7.5 Slide 4 for $60 P1D1 or Draw Hdcp Up/Dn; #6.5 1 Over 40 3 for $40; #4.5 3 for $40. Jul 5: Century/Mix Buckle Roping #7.5 4 for $50; #6.5 3 for $40; #5.5 3 for $40. Saddle to high $ winner & high $ woman. Buckles to Century/Mix average winners. ACTRA. Kyle Hagins 509-947-2051.,,509-947-2051,,622935879_1416371400534774_2100473433641619686_n.jpg,3/8/26,Yes
Tyler Magnus Team Roping - Llano,#6 Two Steer/#8 Hdcp/#10 Hdcp/#12 Slide,8/29/26,8/30/26,11:00 AM,JLK Arena,2200 W Ranch Rd 152,Llano,TX,,Team Roping,Special Event,$75+,$75-$180/roper,Enter 3x/side,Future Llano dates Aug 29-30. Same format: #6 Two Steer #8 Handicap w/#4 Cap #10 Handicap #12 Slide. Global numbers. No Elites. Negative Coggins. Cash or credit card. Tyler (512)940-4786.,,512-940-4786,,649126379_1484691186387708_1456881390502128402_n.jpg,3/8/26,Yes
Northwest ACTRA Chapter Finals,,9/25/26,9/27/26,,Clark County Saddle Club,11407 NE 174th Circle,Battle Ground,WA,98604,Team Roping,Championship,,,3 days,ACTRA Northwest Chapter Finals. More details to come.,www.actra.org,,,622845520_1416370670534847_7564829420264767597_n.jpg,3/8/26,Yes
2026 ACTRA National Finals,#10.5 Handicap/Mixed Handicap/Open Roping,10/18/26,10/18/26,,Rope Smart Arena,,Reno,NV,,Team Roping,Championship,$200+,$75-$200,Enter 4x,Sunday: #10 1/2 Handicap 4 for $75; Mixed Handicap 4 for $75; Open Roping 5 for $200. Enter each roping 4x. Cattle charge 33% most ropings.,www.actra.org,,,620866612_17950485168081030_5495113013297114303_n.jpg,3/8/26,Yes
2026 ACTRA National Finals,#9 Hdcp Down/#Century Handicap/#8.5,10/19/26,10/19/26,,Rope Smart Arena,,Reno,NV,,Team Roping,Championship,$300+,$75-$300,Enter 4x,Monday: RopeSmart Big Bucks #9 Hdcp Down 4 for $300; Century Handicap w/#5 1/2 Incentive 4 for $75; #8 1/2 Roping 4 for $75.,www.actra.org,,,620866612_17950485168081030_5495113013297114303_n.jpg,3/8/26,Yes
2026 ACTRA National Finals,Gene Aguiar Scholarship/#6.5 Over 40,10/20/26,10/20/26,,Rope Smart Arena,,Reno,NV,,Team Roping,Championship,$200+,$60-$200,Enter 4x,Tuesday: Gene Aguiar Scholarship Roping 3 for $60; #6 1/2 Over 40 Handicap Down 4 for $200; American Elite Rope Horse Sale; Member Reception at Silver Legacy 6:00pm.,www.actra.org,,,620866612_17950485168081030_5495113013297114303_n.jpg,3/8/26,Yes
2026 ACTRA National Finals,Super 7 Hdcp Down/#4.5 Over 40,10/21/26,10/21/26,,Rope Smart Arena,,Reno,NV,,Team Roping,Championship,$150+,$75-$150,5 head,Wednesday: California Custom Super 7 Hdcp Down 5 for $150; Scott Thomas Saddles #4 1/2 Over 40 4 for $75.,www.actra.org,,,620866612_17950485168081030_5495113013297114303_n.jpg,3/8/26,Yes
2026 ACTRA National Finals,#5.5 Roping,10/22/26,10/22/26,,Rope Smart Arena,,Reno,NV,,Team Roping,Championship,$75+,$75 ,4 head,Thursday: #5 1/2 Roping 4 for $75.,www.actra.org,,,620866612_17950485168081030_5495113013297114303_n.jpg,3/8/26,Yes
2026 ACTRA National Finals,#4 Roping/Youth Dummy,10/23/26,10/23/26,,Rope Smart Arena,,Reno,NV,,Team Roping,Championship,$75+,$75 ,4 head,Friday: Red River Arena #4 Roping 4 for $75; Youth & Significant Other Dummy Roping. Dummy roping at 12:00pm.,www.actra.org,,,620866612_17950485168081030_5495113013297114303_n.jpg,3/8/26,Yes
2026 ACTRA National Finals,#3 Roping,10/24/26,10/24/26,,Rope Smart Arena,,Reno,NV,,Team Roping,Championship,$75+,$75 ,4 head,Saturday: #3 Roping 4 for $75.,www.actra.org,,,620866612_17950485168081030_5495113013297114303_n.jpg,3/8/26,Yes
The Buckeye 5 Steer 2026,#13.5 w/11.5 Bonus,05/02/2026,05/02/2026,"Books close April 25 Noon, Rope 9:00 AM",Buckeye Equestrian and Events Center,,Buckeye,AZ,,Team Roping,Jackpot,"$4,720+ 1st",$200/man,5 Steer Avg.,85% payback. Handicapped -2 sec/#. Pick-Enter 1x per side. Progressive after 1. Calcutta online silent auction. RopingFinder.com $300 bonus for member winner. Pre-entry required by April 25 noon. Late entries +$20/side. Cash only day of roping.,,623-377-8670,,651276025_122207274344548120_3312084946642896218_n.jpg,2026-03-27,YES
Saturday Team Roping - Cooke County Cowboy Church,#10.5 / #8.5,04/04/2026,04/04/2026,"Books 12:00 PM, Rope 1:00 PM",Cooke County Cowboy Church,8207 US 82,Gainesville,TX,76240,Team Roping,Jackpot,,$180/division,#10.5: 4 head; #8.5: 3 head. Pick 1 Draw 2 or Draw 3. Progressive after 1. Top 20 to Short Go. 70% payback. Negative Coggins required. Signed arena waiver required. Concession onsite. WSTR numbers used.,,325-207-5852,,655454578_122291535014223860_5307581002407983515_n.jpg,2026-03-27,YES,
